Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
TAMAN MAWAR,Pasir Gudang,Johor,Leasehold,Terrace House,390000.0,313.0,26
SEKSYEN 4 BANDAR BARU BANGI,Bangi,Selangor,Leasehold,"Terrace House, Bungalow",535000.0,279.0,26
TAMAN BISTARI MENGLEMBU,Menglembu,Perak,Leasehold,Terrace House,408000.0,372.0,26
UNI GARDEN,Kota Samarahan,Sarawak,Freehold,Terrace House,510000.0,238.0,26
BANDAR PUTERI HILLPARK,Sungai Petani,Kedah,Freehold,Terrace House,300000.0,162.0,26
BANDAR BARU PUTRA,Ipoh,Perak,"Freehold, Leasehold",Terrace House,212500.0,159.0,26
BANDAR BARU KOTA PUTRI,Masai,Johor,Freehold,Terrace House,335000.0,391.0,26
TAMAN PELANGI INDAH,Tebrau,Johor,Freehold,Terrace House,904900.0,497.0,26
TAMAN PUTERA/SURIA,Johor Bahru,Johor,Freehold,Terrace House,625000.0,343.0,26
TAMAN BUKIT CHENG,Cheng,Melaka,Freehold,Terrace House,370000.0,256.0,26
TAMAN BUKIT JAYA,Ulu Tiram,Johor,Freehold,Terrace House,460000.0,310.0,26
BANDAR PUTERI JAYA SEKSYEN 3,Sungai Petani,Kedah,Freehold,"Semi D, Terrace House",370000.0,118.0,26
AMVERTON HILLS SUNGAI BULOH,Sungai Buloh,Selangor,Freehold,"Semi D, Bungalow",1703888.0,529.0,26
BANDAR TASIK IDAMAN,Batu Gajah,Perak,Leasehold,Terrace House,440300.0,270.0,26
TAMAN ANGSAMAS,Rasah,Negeri Sembilan,Freehold,Terrace House,205000.0,172.0,26
TAMAN KENARI FASA 1,Kulim,Kedah,Freehold,"Semi D, Terrace House",300000.0,207.0,26
TAMAN PENAGA MEWAH,Ampangan,Negeri Sembilan,Freehold,Terrace House,487910.0,349.0,26
TAMAN PUTRA PERMAI,Seri Kembangan,Selangor,Leasehold,Terrace House,722500.0,342.0,26
TAMAN DESARU UTAMA,Pengerang,Johor,Leasehold,"Terrace House, Semi D",330000.0,251.0,26
Sky Peak Residences,Tampoi,Johor,Freehold,Service Residence,445000.0,431.0,26
Kondo Rakyat,Kuala Ibai,Terengganu,Leasehold,Flat,66500.0,106.0,26
Almyra Residences,Bangi,Selangor,Freehold,Condominium,450400.0,471.0,26
UDA UTAMA,Skudai,Johor,Freehold,"Terrace House, Bungalow",600000.0,324.0,25
TAMAN BANDAR UNIVERSITI PARIT RAJA,Batu Pahat,Johor,Freehold,Terrace House,326970.0,209.0,25
TAMAN NUSARI BAYU 1,Bandar Sri Sendayan,Negeri Sembilan,Freehold,Terrace House,300000.0,207.0,25
TEMPLER RESIDENCE,Rawang,Selangor,Freehold,Terrace House,837000.0,518.0,25
TAMAN TTDI GROVE,Bangi,Selangor,Freehold,Semi D,1068000.0,334.0,25
BK 8 - PERUMAHAN KINRARA,Bandar Kinrara,Selangor,Freehold,"Semi D, Terrace House",2400000.0,610.0,25
TAMAN MAWAR INDAH,Raub,Pahang,Freehold,Semi D,420000.0,131.0,25
SEKSYEN 14,Petaling Jaya,Selangor,Leasehold,Terrace House,715000.0,333.0,25
TAMAN PERDANA,Simpang Ampat,Penang,Freehold,Terrace House,575000.0,374.0,25
TAMAN PSJ,Sungai Karang,Pahang,Freehold,"Terrace House, Semi D",265000.0,206.0,25
BANDAR MUTIARA,Sungai Petani,Kedah,Freehold,"Terrace House, Semi D",280000.0,186.0,25
TAMAN ANGKASA NURI,Durian Tunggal,Melaka,Leasehold,Terrace House,280000.0,213.0,25
TAMAN EHSAN,Kepong,Selangor,Leasehold,Terrace House,505000.0,305.0,25
TAMAN PUTERI JAYA,Batu Pahat,Johor,Freehold,"Semi D, Terrace House",468000.0,286.0,25
BANDAR TROPICANA AMAN,Tanjong Duabelas,Selangor,Leasehold,"Semi D, Terrace House",1300000.0,488.0,25
TAMAN BUKIT TERATAI,Ampang,Selangor,Leasehold,"Terrace House, Town House",505000.0,442.0,25
Permata Apartment,Bukit Mertajam,Penang,Freehold,Apartment,180000.0,288.0,25
Savanna Executive Suite @ Southville City,Bangi,Selangor,Freehold,Service Residence,360000.0,376.0,25
Idaman Selasih,Bayan Lepas,Penang,Freehold,Flat,320000.0,472.0,25
Bandar Tasik Selatan (Low Cost),Bandar Tasik Selatan,Kuala Lumpur,Leasehold,Flat,190000.0,282.0,25
Pelangi Utama,Bandar Utama,Selangor,Leasehold,Condominium,480000.0,460.0,25
Jasa,Skudai,Johor,Leasehold,Flat,150000.0,244.0,25
Taman Mutiara,Labuan,Labuan,Leasehold,Flat,130000.0,169.0,25
Taman Sri Tanjung,Semenyih,Selangor,Freehold,Apartment,296400.0,302.0,25
Taman Pulai Utama,Skudai,Johor,Freehold,Flat,150000.0,228.0,25
Taman Pauh Indah,Perai,Penang,Freehold,Flat,185000.0,316.0,25
Pelangi Damansara,Bandar Utama,Selangor,Leasehold,Apartment,450000.0,576.0,25
SuriaMas Suites,Johor Bahru,Johor,Leasehold,Service Residence,400000.0,426.0,25
Trefoil,Setia Alam,Selangor,Freehold,Service Residence,300000.0,548.0,25
Residensi Adelia,Bangi,Selangor,Freehold,Condominium,350000.0,323.0,25
SS5 PETALING JAYA,Petaling Jaya,Selangor,Freehold,Terrace House,700000.0,378.0,24
TAMAN LAVENDER HEIGHTS,Senawang,Negeri Sembilan,Freehold,Bungalow,440000.0,232.0,24
"ELEMEN @ 18, PENGKALAN",Ipoh,Perak,Leasehold,Cluster House,428000.0,168.0,24
TAMAN MAWAR,Sandakan,Sabah,Leasehold,Terrace House,325000.0,273.0,24
TAMAN SATU KRUBONG,Krubong,Melaka,Freehold,"Terrace House, Bungalow",685000.0,234.0,24
TAMAN INDERAWASIH,Perai,Penang,Freehold,Terrace House,514000.0,318.0,24
BANDAR BUKIT MAHKOTA,Bangi,Selangor,Freehold,"Cluster House, Terrace House, Semi D",447500.0,337.0,24
TAMAN BUKIT GALENA,Seremban,Negeri Sembilan,Freehold,"Terrace House, Semi D",492500.0,276.0,24
TAMAN NUSANTARA PRIMA,Gelang Patah,Johor,Freehold,"Cluster House, Terrace House",675000.0,337.0,24
TAMAN NUSA INDAH,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,650000.0,427.0,24
TAMAN BANTING BARU,Banting,Selangor,Freehold,Terrace House,315000.0,248.0,24
TAMAN JASMIN,Kajang,Selangor,Freehold,Terrace House,442000.0,357.0,24
KINRARA RESIDENCE,Puchong,Selangor,Leasehold,"Terrace House, Semi D",1890000.0,717.0,24
TAMAN NURI,Durian Tunggal,Melaka,Freehold,"Cluster House, Semi D",699000.0,213.0,24
TAMAN NUSA INTAN,Ampangan,Negeri Sembilan,Freehold,Terrace House,382500.0,231.0,24
TAMAN UNIVERSITI INDAH,Seri Kembangan,Selangor,Freehold,"Terrace House, Semi D",582500.0,477.0,24
TAMAN KERJASAMA,Bukit Baru,Melaka,Freehold,Terrace House,380000.0,245.0,24
SRI INDERAPURA,Kuantan,Pahang,Leasehold,"Terrace House, Semi D",192500.0,150.0,24
TAMAN BUKIT RANGIN PERDANA 1 & 2,Kuantan,Pahang,Leasehold,Terrace House,225000.0,173.0,24
TAMAN SRI SERDANG,Seri Kembangan,Selangor,Leasehold,Terrace House,420000.0,286.0,24
SEKSYEN 13 SHAH ALAM,Shah Alam,Selangor,Leasehold,"Bungalow, Terrace House, Semi D",1750000.0,452.0,24
BANDAR SULTAN SULAIMAN,Kapar,Selangor,Leasehold,Terrace House,260000.0,251.0,24
TAMAN MAWAR,Serendah,Selangor,Freehold,Terrace House,398040.0,306.0,24
TANJONG PINANG,Tanjong Tokong,Penang,Freehold,Terrace House,3450000.0,1146.0,24
DESA RESTU,Sepang,Selangor,Leasehold,Terrace House,575000.0,437.0,24
COUNTRY VILLAS,Bemban,Melaka,Leasehold,"Semi D, Terrace House",645000.0,388.0,24
Koi Kinrara,Puchong,Selangor,Freehold,Service Residence,560000.0,532.0,24
Puncak Erskine,Tanjong Tokong,Penang,Freehold,Apartment,175000.0,290.0,24
Subang Perdana Goodyear Court 10,Subang Jaya,Selangor,Freehold,Apartment,374000.0,368.0,24
The Park Residences 1,Kampung Kerinchi (Bangsar South),Kuala Lumpur,Leasehold,Condominium,1180000.0,601.0,24
Taman Cendana,Pasir Gudang,Johor,Leasehold,Flat,130000.0,251.0,24
Pangsapuri Kasuarina,Klang,Selangor,Freehold,Apartment,380000.0,420.0,24
11 Mont Kiara @ MK11,Mont Kiara,Kuala Lumpur,Freehold,Condominium,2800000.0,839.0,24
TAMAN DESA CHEMOR IMPIAN,Chemor,Perak,Leasehold,Terrace House,342240.0,244.0,23
TAMAN YPJ PUNGGAI,Pengerang,Johor,"Leasehold, Freehold",Terrace House,278800.0,199.0,23
PINGGIRAN BAYU (MANTAU),Rasah,Negeri Sembilan,Freehold,Terrace House,488000.0,349.0,23
RASAH KEMAYAN (KEMAYAN COUNTRY TOWNSHIP),Rasah,Negeri Sembilan,Freehold,Bungalow,620000.0,128.0,23
LEMBAH BERINGIN,Kuala Kubu Baru,Selangor,Freehold,Terrace House,155000.0,70.0,23
SEKSYEN 27 SHAH ALAM,Shah Alam,Selangor,Freehold,"Terrace House, Semi D",700000.0,376.0,23
TAMAN RAPAT PERMAI,Ipoh,Perak,Leasehold,Terrace House,368000.0,223.0,23
TIMUR,Bandar Enstek,Negeri Sembilan,Freehold,Terrace House,570000.0,264.0,23
TAMAN BUKIT RAHMAN PUTRA,Sungai Buloh,Selangor,Freehold,"Terrace House, Cluster House",700000.0,424.0,23
TAMAN WIRA (RPA MERGONG),Alor Setar,Kedah,Freehold,Terrace House,39600.0,38.0,23
TAMAN MERDEKA JAYA (AERONOTIK TAIPAN),Batu Berendam,Melaka,Leasehold,Terrace House,300000.0,227.0,23
TAMAN AMAN PERDANA,Kapar,Selangor,Freehold,Semi D,850000.0,321.0,23
SETAPAK JAYA,Setapak,Kuala Lumpur,Leasehold,Cluster House,240000.0,385.0,23
TAMAN KLEBANG JAYA,Chemor,Perak,Leasehold,Terrace House,200000.0,167.0,23
VALENCIA,Sungai Buloh,Selangor,"Leasehold, Freehold","Bungalow, Terrace House",2400000.0,570.0,23
BANDAR BARU KUNDANG,Rawang,Selangor,Leasehold,Terrace House,642630.0,456.0,23
TAMAN KELEMAK UTAMA,Alor Gajah,Melaka,Freehold,Terrace House,398760.0,306.0,23
SEKSYEN 21,Petaling Jaya,Selangor,Freehold,"Terrace House, Bungalow",763000.0,493.0,23
BANDAR BUKIT TINGGI,Pandamaran,Selangor,Freehold,Terrace House,686000.0,455.0,23
Amara,Batu Caves,Selangor,Freehold,Service Residence,430000.0,440.0,23
I-Park Apartment,Sungai Ara,Penang,Freehold,Flat,250000.0,375.0,23
Desa Lembah Permai,Ampang,Selangor,Leasehold,Flat,67000.0,102.0,23
Juta Mines,Seri Kembangan,Selangor,Leasehold,Condominium,450000.0,370.0,23
Beverly Hills 2,Kota Kinabalu,Sabah,Leasehold,Apartment,300000.0,372.0,23
Solaris Dutamas,Dutamas,Kuala Lumpur,Freehold,Service Residence,900000.0,801.0,23
Pangsapuri Perdana Villa,Klang,Selangor,Freehold,Apartment,300000.0,310.0,23
D'Esplanade Residence,Johor Bahru,Johor,Freehold,Service Residence,550000.0,673.0,23
The Platino Serviced Apartment,Tampoi,Johor,Freehold,Service Residence,601900.0,666.0,23
Sri Impian Apartment,Johor Bahru,Johor,Leasehold,Apartment,280000.0,292.0,23
Taman Alor Vista,Bayan Lepas,Penang,Freehold,Apartment,200000.0,387.0,23
Seremban Putra,Sikamat,Negeri Sembilan,Freehold,Apartment,185000.0,221.0,23
Mutiara Idaman 1,Jelutong,Penang,Leasehold,Flat,282000.0,452.0,23
Taman Pandan Indah,Ampang,Selangor,Leasehold,Flat,175000.0,264.0,23
TAMAN RASAH JAYA II,Rasah,Negeri Sembilan,Freehold,Terrace House,235000.0,182.0,22
RUMAH MAKMUR KAMPUNG TIRAM,Kuantan,Pahang,Leasehold,Terrace House,80000.0,73.0,22
TAMAN GOPENG MEWAH,Gopeng,Perak,Leasehold,Terrace House,277235.0,167.0,22
TAMAN LANG RESIDENCES,Ipoh,Perak,Freehold,Terrace House,459800.0,328.0,22
ASTANA PARK HOMES - VILLA NATURA,Sungai Petani,Kedah,Freehold,"Terrace House, Semi D, Bungalow",378000.0,202.0,22
TAMAN PERPADUAN KOPERASI,Tambun,Perak,Leasehold,Terrace House,342500.0,216.0,22
GLENMARIE INDUSTRIAL PARK,Glenmarie,Selangor,Freehold,"Semi D, Terrace House",1875000.0,617.0,22
DESA SETAPAK,Wangsa Maju,Kuala Lumpur,Freehold,Terrace House,413500.0,659.0,22
TAMAN JUASSEH SENTOSA,Juasseh,Negeri Sembilan,Freehold,Terrace House,81500.0,67.0,22
TAMAN DESA,Muar,Johor,Freehold,Terrace House,490000.0,295.0,22
TAMAN KAMPAR PUTRA,Kampar,Perak,Leasehold,Terrace House,259000.0,159.0,22
TAMAN MERAK,Simpang Ampat,Penang,Freehold,Terrace House,297500.0,291.0,22
TAMAN SRI LAYANG,Mentakab,Pahang,Freehold,Terrace House,170000.0,160.0,22
TAMAN PUSING PERMAI,Pusing,Perak,Leasehold,Terrace House,273800.0,229.0,22
DESA COALFIELDS,Ijok,Selangor,Freehold,Terrace House,467500.0,324.0,22
TAMAN MELATI FASA II,Jenjarom,Selangor,Freehold,Terrace House,680000.0,419.0,22
TAMAN DESA PUTERI,Bahau,Negeri Sembilan,Freehold,Terrace House,300000.0,179.0,22
TAMAN SEJATI KEHIJAUAN,Klang,Selangor,Freehold,Terrace House,1138000.0,582.0,22
USJ 4,Subang Jaya,Selangor,Freehold,Terrace House,915000.0,499.0,22
TAMAN SAUJANA RAWANG,Rawang,Selangor,Leasehold,Terrace House,521000.0,315.0,22
BEHRANG 2020 / TAMAN WAWASAN,Ulu Bernam,Perak,Freehold,Terrace House,252500.0,198.0,22
TAMAN MENTAKAB INDAH,Mentakab,Pahang,Freehold,Terrace House,105500.0,101.0,22
AVIRA GARDEN TERRACES @ MEDINI,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,999000.0,569.0,22
TAMAN PUCHONG PERDANA,Puchong,Selangor,Leasehold,Terrace House,375000.0,342.0,22
TAMAN PONTIAN PERDANA,Pontian,Johor,Freehold,Bungalow,541600.0,150.0,22
Bandar Baru Permas Jaya,Permas Jaya,Johor,Freehold,Flat,172500.0,232.0,22
Bandar Damai Perdana (Low Cost),Cheras,Selangor,Freehold,Condominium,457500.0,458.0,22
Prima Regency,Johor Bahru,Johor,Freehold,Apartment,351500.0,332.0,22
Seri Semarak (Asia Heights),Ayer Itam,Penang,Freehold,Apartment,265000.0,425.0,22
Jadite Suites,Kajang,Selangor,Freehold,Service Residence,688800.0,472.0,22
Cyberia Smart Homes,Cyberjaya,Selangor,Freehold,Condominium,250000.0,238.0,22
Rasah Jaya Flat,Rasah,Negeri Sembilan,Freehold,Flat,68000.0,102.0,22
Casa Tiara Serviced Apartment,Subang Jaya,Selangor,Freehold,Service Residence,416500.0,550.0,22
Danga View Apartment,Tampoi,Johor,Freehold,Apartment,420000.0,340.0,22
D'Ambience Residences (Pangsapuri Ikatan Flora),Permas Jaya,Johor,Freehold,Service Residence,339000.0,396.0,22
Sri Lanang,Tebrau,Johor,Freehold,Flat,170000.0,226.0,22
Desa Permai Indah Flat,Sungai Dua,Penang,Leasehold,Flat,180000.0,328.0,22
The Heritage Residence,Seri Kembangan,Selangor,Leasehold,Service Residence,297500.0,379.0,22
TAMAN PELANGI,Semenyih,Selangor,Freehold,Terrace House,450000.0,301.0,21
SETIA ECO GLADES,Cyberjaya,Selangor,Freehold,"Bungalow, Terrace House",1200000.0,513.0,21
JALAN JENDERAM-SALAK,Dengkil,Selangor,Freehold,Cluster House,1438800.0,616.0,21
"KEMUNING UTAMA, SEKSYEN 32",Shah Alam,Selangor,Freehold,Terrace House,828000.0,501.0,21
TAMAN CHEPOR MUTIARA,Ipoh,Perak,Leasehold,"Terrace House, Cluster House",398000.0,235.0,21
PERUMAHAN MAKMUR KUALA LANAR INDAH JAYA,Kuala Lipis,Pahang,Leasehold,Terrace House,80000.0,61.0,21
TAMAN CASSIA CEMPAKA,Batu Kawan,Penang,Freehold,"Terrace House, Semi D",625320.0,395.0,21
TAMAN EKOFLORA,Tebrau,Johor,Freehold,"Terrace House, Cluster House",960000.0,530.0,21
TAMAN SERULING EMAS,Sungai Jawi,Penang,Freehold,Terrace House,325000.0,195.0,21
TAMAN BANDAR SENAWANG,Senawang,Negeri Sembilan,Freehold,Terrace House,440000.0,246.0,21
TUNAS MAHKOTA,Kuantan,Pahang,"Freehold, Leasehold",Terrace House,195000.0,160.0,21
TAMAN DESA BUKIT PERMATA,Kapar,Selangor,Freehold,Terrace House,460000.0,191.0,21
TAMAN RAJA MUDA MUSA II,Sitiawan,Perak,Freehold,Terrace House,288800.0,180.0,21
TAMAN PUTRA PERDANA,Puchong,Selangor,Leasehold,Terrace House,450000.0,286.0,21
DESA LAHAT SRI -WANG,Lahat,Perak,Leasehold,Terrace House,318880.0,267.0,21
TAMAN SAGA,Kulim,Kedah,Freehold,"Terrace House, Semi D",269500.0,166.0,21
KUALA BESUT,Besut,Terengganu,Freehold,"Terrace House, Bungalow, Semi D",335000.0,190.0,21
TAMAN BUKIT KEPAYANG,Bukit Kepayang,Negeri Sembilan,Freehold,Terrace House,380000.0,231.0,21
KAMPUNG PADANG 1,Kuantan,Pahang,Leasehold,Terrace House,170000.0,153.0,21
TAMAN PINJI MEWAH,Ipoh,Perak,Leasehold,"Semi D, Terrace House",285000.0,171.0,21
TAMAN SEJAHTERA (SPT),Bukit Mertajam,Penang,Freehold,Terrace House,350000.0,297.0,21
KEPONG GARDEN,Kepong,Kuala Lumpur,Freehold,Terrace House,780000.0,434.0,21
TAMAN SETAPAK (SETAPAK GARDEN),Setapak,Kuala Lumpur,Freehold,Terrace House,600000.0,341.0,21
WANGSA MELAWATI,Wangsa Maju,Kuala Lumpur,Freehold,Terrace House,720000.0,578.0,21
TAMAN DESA JAYA,Kepong,Selangor,Leasehold,Terrace House,500000.0,349.0,21
SEKSYEN 5,Petaling Jaya,Selangor,"Leasehold, Freehold","Bungalow, Terrace House",1700000.0,339.0,21
TAMAN KLEBANG MUTIARA,Ipoh,Perak,Leasehold,Terrace House,300000.0,214.0,21
BANDAR SEGAMAT BARU,Segamat,Johor,Freehold,"Bungalow, Terrace House",220000.0,125.0,21
TAMAN BERSATU (BATAS PAIP),Kuala Kedah,Kedah,Freehold,Terrace House,200000.0,229.0,21
TAMAN LUMUT MEWAH 2,Lumut,Perak,Freehold,Terrace House,418800.0,263.0,21
BANDAR SIERRA PUCHONG,Puchong,Selangor,Leasehold,"Town House, Terrace House",1260000.0,571.0,21
RAZAKI,Ipoh,Perak,Leasehold,"Terrace House, Semi D",255000.0,157.0,21
TAMAN SERI MENGKUANG,Kuala Selangor,Selangor,Freehold,Terrace House,342500.0,222.0,21
TAMAN RAMBAI UTAMA,Tanjong Minyak,Melaka,Freehold,Terrace House,240000.0,200.0,21
"TAMAN PELANGI INDAH, SITIAWAN",Sitiawan,Perak,Freehold,Semi D,480000.0,166.0,21
Bayu Puteri 2,Johor Bahru,Johor,Leasehold,Apartment,310000.0,343.0,21
Straits View Condominium,Permas Jaya,Johor,Freehold,Condominium,495000.0,304.0,21
Taman Mount Austin,Tebrau,Johor,Freehold,Flat,250000.0,438.0,21
PD Perdana,Port Dickson,Negeri Sembilan,Freehold,Apartment,95000.0,126.0,21
Seksyen 4 Wangsa Maju Flat,Wangsa Maju,Kuala Lumpur,Leasehold,Flat,210000.0,398.0,21
Bayu Puteri 3,Johor Bahru,Johor,Leasehold,Apartment,350000.0,372.0,21
Seri Maya Condominium,Ulu Klang,Selangor,Freehold,Condominium,530000.0,413.0,21
St Regis,KL Sentral,Kuala Lumpur,Freehold,Service Residence,3715000.0,2264.0,21
Maxim Citylights @ Sentul Kl,Sentul,Kuala Lumpur,Leasehold,Service Residence,365000.0,371.0,21
Bistari Impian Apartment,Johor Bahru,Johor,Leasehold,Apartment,360000.0,335.0,21
Axis Residence @ Axis Pandan,Ampang,Selangor,Leasehold,Service Residence,330000.0,352.0,21
Taman Seri Janggus,Bukit Mertajam,Penang,Freehold,Flat,120000.0,186.0,21
One Foresta,Bayan Lepas,Penang,Freehold,Condominium,450000.0,492.0,21
TAMAN PAKATAN JAYA,Tambun,Perak,Leasehold,Terrace House,302500.0,245.0,20
SS23 TAMAN SEA,Petaling Jaya,Selangor,Freehold,Terrace House,1372500.0,797.0,20
"KEMUNING UTAMA, SEKSYEN 33",Shah Alam,Selangor,Freehold,"Semi D, Terrace House",909000.0,465.0,20
TAMAN AKASIA (ACACIA HEIGHTS),Kluang,Johor,Freehold,"Cluster House, Semi D",610500.0,208.0,20
TAMAN PUNCAK HARMONI,Kuala Kangsar,Perak,Freehold,Terrace House,318000.0,196.0,20
QUEENSBURY @ MAHKOTA HILLS,Lenggeng,Negeri Sembilan,Freehold,Terrace House,529500.0,373.0,20
BB SETIA AWAN PERDANA RESIDEN 7,Sitiawan,Perak,Freehold,Cluster House,248000.0,129.0,20
TAMAN DAIMAN JAYA,Kota Tinggi,Johor,Freehold,Cluster House,776900.0,320.0,20
POLO PARK,Johor Bahru,Johor,Freehold,Town House,320000.0,272.0,20
PERKAMPUNGAN CENDERAWASIH,Kuantan,Pahang,Leasehold,Terrace House,205000.0,217.0,20
BANDAR BARU TANGKAK,Tangkak,Johor,Freehold,"Terrace House, Cluster House",288800.0,107.0,20
TAMAN ZAMRUD,Parit Buntar,Perak,"Freehold, Leasehold",Terrace House,366075.0,191.0,20
TAMAN HIJRAH,Kapar,Selangor,Freehold,Terrace House,450000.0,355.0,20
TAMAN SEMARANG INTAN,Dengkil,Selangor,"Leasehold, Freehold",Terrace House,669600.0,321.0,20
TAMAN LIMBONGAN PERMAI,Klebang,Melaka,Freehold,Terrace House,289000.0,187.0,20
BANDAR SRI PUTRA,Bangi,Selangor,Freehold,"Terrace House, Semi D",615000.0,335.0,20
TROPICANA DANGA COVE,Masai,Johor,Freehold,Terrace House,767500.0,501.0,20
PANORAMA LAPANGAN SAUJANA (GREEN PARK),Ipoh,Perak,Leasehold,Cluster House,638800.0,236.0,20
TAMAN GEMBIRA,Tampoi,Johor,Freehold,Terrace House,432500.0,283.0,20
TAMAN SERI BAYU,Sungai Petani,Kedah,Freehold,Terrace House,200000.0,164.0,20
TAMAN IPOH SELATAN,Ipoh,Perak,Freehold,Terrace House,397500.0,203.0,20
TAMAN TANGKAK JAYA - TR 381,Tangkak,Johor,Freehold,Terrace House,287500.0,184.0,20
BANDAR HILLPARK,Bandar Puncak Alam,Selangor,Leasehold,Terrace House,560000.0,341.0,20
TAMU HILL PARK,Batang Kali,Selangor,Freehold,Terrace House,400000.0,244.0,20
TAMAN MUNSYI IBRAHIM,Tampoi,Johor,Freehold,Terrace House,375000.0,406.0,20
TAMAN MERDEKA,Batu Berendam,Melaka,Leasehold,"Terrace House, Town House",326500.0,182.0,20
SETIA ECO CASCADIA,Tebrau,Johor,Freehold,Terrace House,814300.0,462.0,20
D'Putra Suites,Senai,Johor,Freehold,Service Residence,528900.0,520.0,20
M Condominium @ Larkin,Johor Bahru,Johor,Leasehold,Condominium,485000.0,439.0,20
Kuchai Avenue,Kuchai Lama,Kuala Lumpur,Freehold,Service Residence,580000.0,626.0,20
Paragon Residences @ Straits View,Johor Bahru,Johor,Freehold,Service Residence,942450.0,611.0,20
Desa Satu,Kepong,Selangor,Freehold,Flat,166500.0,253.0,20
Taman Tun Hussein Onn,Perai,Penang,Freehold,Flat,110000.0,195.0,20
Sri Panglima,Johor Bahru,Johor,Leasehold,Apartment,240000.0,265.0,20
Desa Impiana,Puchong,Selangor,Freehold,Condominium,400000.0,340.0,20
Samudera 1,Seri Manjong,Perak,Freehold,Apartment,223300.0,239.0,20
Laguna Condo Resort,Port Dickson,Negeri Sembilan,Freehold,Condominium,95000.0,117.0,20
Ridzuan Condominium,Bandar Sunway,Selangor,Leasehold,Condominium,500000.0,420.0,20
Costa Mahkota,Melaka City,Melaka,Leasehold,Apartment,204500.0,336.0,20
Subang Perdana Goodyear Court 7,Subang Jaya,Selangor,Freehold,Apartment,376500.0,393.0,20
Suria Kipark Damansara,Kepong,Selangor,Freehold,Apartment,445000.0,454.0,20
Jade View,Gelugor,Penang,Freehold,Apartment,293500.0,426.0,20
Apartment Sri Rakyat,Bukit Jalil,Kuala Lumpur,Freehold,Apartment,235000.0,352.0,20
Rumah Pangsa College Heights Pajam,Mantin,Negeri Sembilan,Freehold,Flat,70000.0,114.0,20
Rhythm Avenue,Subang Jaya,Selangor,Freehold,Service Residence,290000.0,378.0,20
TAMAN SOGA,Batu Pahat,Johor,Freehold,Terrace House,330000.0,208.0,19
TAMAN WANGSA PERMAI,Kepong,Selangor,Leasehold,Terrace House,737000.0,488.0,19
GARDEN HOMES @ SEREMBAN 2,Seremban 2,Negeri Sembilan,Freehold,Terrace House,370000.0,220.0,19
TAMAN BINTULU JAYA,Bintulu,Sarawak,Freehold,Terrace House,80000.0,44.0,19
ATABARA RESIDENCE FASA 8 (PL 76003),Kuantan,Pahang,Freehold,Terrace House,325000.0,163.0,19
HUTAN MELINTANG RESIDENCE,Hutan Melintang,Perak,Freehold,"Terrace House, Semi D",438800.0,136.0,19
TAMAN KOTA PERMAI,Bukit Mertajam,Penang,Freehold,"Terrace House, Semi D",470000.0,300.0,19
BANDAR BARU SUNGAI BULOH,Sungai Buloh,Selangor,Leasehold,Terrace House,440000.0,315.0,19
TAMAN JOHOR,Tampoi,Johor,Freehold,"Terrace House, Bungalow",500000.0,259.0,19
BANGSAR BARU,Bangsar,Kuala Lumpur,Freehold,"Terrace House, Bungalow",1710000.0,814.0,19
TAMAN SERAI PERDANA,Bagan Serai,Perak,Freehold,"Terrace House, Semi D",263800.0,169.0,19
TAMAN PERMAI UTAMA,Gurun,Kedah,Freehold,"Semi D, Terrace House",220000.0,154.0,19
TAMAN SERI KERUBUNG,Krubong,Melaka,Freehold,Terrace House,240000.0,197.0,19
KENYALANG PARK,Kuching,Sarawak,Leasehold,"Terrace House, Bungalow",420000.0,220.0,19
CENTRAL CITY,Kota Samarahan,Sarawak,Freehold,Terrace House,350000.0,205.0,19
MINDEN HEIGHTS,Gelugor,Penang,Freehold,"Bungalow, Terrace House",2200000.0,465.0,19
BUKIT RIMAU,Klang,Selangor,Freehold,"Terrace House, Semi D, Bungalow",960000.0,410.0,19
TAMAN BAHAU,Bahau,Negeri Sembilan,Freehold,Terrace House,183000.0,155.0,19
TAMAN NESA,Skudai,Johor,"Freehold, Leasehold",Terrace House,380000.0,292.0,19
TAMAN KRUBONG PERDANA,Krubong,Melaka,Freehold,"Bungalow, Terrace House",443800.0,317.0,19
SETIA INDAH 9,Setia Alam,Selangor,Freehold,Terrace House,1050000.0,608.0,19
TAMAN BUKIT SENDAYAN,Bandar Sri Sendayan,Negeri Sembilan,Leasehold,Terrace House,250000.0,192.0,19
TAMAN SENAI UTAMA,Kulai,Johor,Freehold,Terrace House,420000.0,260.0,19
TAMAN MEGAH JAYA,Tawau,Sabah,Leasehold,"Terrace House, Semi D",400000.0,220.0,19
TAMAN DESA PALMA,Tebrau,Johor,Freehold,Terrace House,577150.0,372.0,19
BUKIT BANDARAYA,Bangsar,Kuala Lumpur,Freehold,"Bungalow, Terrace House",2500000.0,751.0,19
TAMAN CHAI LENG,Perai,Penang,Freehold,Terrace House,490000.0,265.0,19
TAMAN SELAYANG JAYA,Selayang,Selangor,Freehold,Terrace House,680000.0,551.0,19
TAMAN ANGGUN,Rawang,Selangor,Freehold,Terrace House,837000.0,409.0,19
